3.5,-178,122,-8.655417094
3.5,-178,124,-9.131657993
3.5,-178,126,-9.640896074
3.5,-178,128,-10.18609738
3.5,-178,130,-10.77016362
3.5,-178,132,-11.3957167
3.5,-178,134,-12.06472104
3.5,-178,136,-12.77783835
3.5,-178,138,-13.53335354
3.5,-178,140,-14.32544721
3.5,-178,142,-15.14157094
3.5,-178,144,-15.95886456
3.5,-178,146,-16.74029471
3.5,-178,148,-17.43294342
3.5,-178,150,-17.97322222
3.5,-178,152,-18.30336126
3.5,-178,154,-18.39511641
3.5,-178,156,-18.2645984
3.5,-178,158,-17.96494684
3.5,-178,160,-17.56366567
3.5,-178,162,-17.12232248
3.5,-178,164,-16.68749292
3.5,-178,166,-16.29061811
3.5,-178,168,-15.95153592
3.5,-178,170,-15.68237737
3.5,-178,172,-15.49064437
3.5,-178,174,-15.3813562
3.5,-178,176,-15.35848949
3.5,-178,178,-15.42596988
3.5,-178,180,-15.58842519
3.5,-176,0,4.327742702
3.5,-176,2,4.363286106
3.5,-176,4,4.383064155
3.5,-176,6,4.387053858
3.5,-176,8,4.375304117
3.5,-176,10,4.347934802
3.5,-176,12,4.305135676
3.5,-176,14,4.247165115
3.5,-176,16,4.174348572
3.5,-176,18,4.087076666
3.5,-176,20,3.985802801
3.5,-176,22,3.871040167
3.5,-176,24,3.743358021
3.5,-176,26,3.603377142
3.5,-176,28,3.451764384
3.5,-176,30,3.289226314
3.5,-176,32,3.116501945
3.5,-176,34,2.934354654
3.5,-176,36,2.743563431
3.5,-176,38,2.544913656
3.5,-176,40,2.339187664
3.5,-176,42,2.127155382
3.5,-176,44,1.909565358
3.5,-176,46,1.687136498
3.5,-176,48,1.460550783
3.5,-176,50,1.230447212
3.5,-176,52,0.997417125
3.5,-176,54,0.762000979
3.5,-176,56,0.52468653
3.5,-176,58,0.285908298
3.5,-176,60,0.046048062
3.5,-176,62,-0.194563908
3.5,-176,64,-0.435647265
3.5,-176,66,-0.676970018
3.5,-176,68,-0.918347357
3.5,-176,70,-1.159641215
3.5,-176,72,-1.400760814
3.5,-176,74,-1.64166438
3.5,-176,76,-1.882362105
3.5,-176,78,-2.122920325
3.5,-176,80,-2.363466796
3.5,-176,82,-2.604196879
3.5,-176,84,-2.845380358
3.5,-176,86,-3.087368597
3.5,-176,88,-3.330601736
3.5,-176,90,-3.575615623
3.5,-176,92,-3.823048225
3.5,-176,94,-4.073645344
3.5,-176,96,-4.328265499
3.5,-176,98,-4.587883976
3.5,-176,100,-4.853596087
3.5,-176,102,-5.126619815
3.5,-176,104,-5.408298051
3.5,-176,106,-5.700100716
3.5,-176,108,-6.003627061
3.5,-176,110,-6.320608405
3.5,-176,112,-6.652911505
3.5,-176,114,-7.002542545
3.5,-176,116,-7.371651418
3.5,-176,118,-7.762535504
3.5,-176,120,-8.177641258
3.5,-176,122,-8.619560655
3.5,-176,124,-9.091017351
3.5,-176,126,-9.594833977
3.5,-176,128,-10.13386625
3.5,-176,130,-10.7108803
3.5,-176,132,-11.32833459
3.5,-176,134,-11.98800362
3.5,-176,136,-12.69034438
3.5,-176,138,-13.43345623
3.5,-176,140,-14.21143175
3.5,-176,142,-15.01189013
3.5,-176,144,-15.81267045
3.5,-176,146,-16.57835222
3.5,-176,148,-17.25883247
3.5,-176,150,-17.79420648
3.5,-176,152,-18.1297506
3.5,-176,154,-18.23750555
3.5,-176,156,-18.13041057
3.5,-176,158,-17.856769
3.5,-176,160,-17.48006506
3.5,-176,162,-17.05975459
3.5,-176,164,-16.6418924
3.5,-176,166,-16.25825026
3.5,-176,168,-15.92928747
3.5,-176,170,-15.66775816
3.5,-176,172,-15.48168017
3.5,-176,174,-15.37645979
3.5,-176,176,-15.35634314
3.5,-176,178,-15.42542651
3.5,-176,180,-15.58842519
3.5,-174,0,4.327742702
3.5,-174,2,4.362976976
3.5,-174,4,4.382441713
3.5,-174,6,4.386112958
3.5,-174,8,4.374038991
3.5,-174,10,4.346339588
3.5,-174,12,4.303205098
3.5,-174,14,4.244895291
3.5,-174,16,4.171737893
3.5,-174,18,4.08412671
3.5,-174,20,3.982519207
3.5,-174,22,3.867433424
3.5,-174,24,3.739444116
3.5,-174,26,3.599178006
3.5,-174,28,3.447308121
3.5,-174,30,3.284547158
3.5,-174,32,3.111639962
3.5,-174,34,2.92935518
3.5,-174,36,2.738476276
3.5,-174,38,2.53979211
3.5,-174,40,2.334087354
3.5,-174,42,2.122133041
3.5,-174,44,1.904677575
3.5,-174,46,1.682438491
3.5,-174,48,1.456095277
3.5,-174,50,1.226283459
3.5,-174,52,0.993590105
3.5,-174,54,0.75855082
